iter	MultiClass
0	2.299773313
1	2.221625746
2	2.159801561
3	2.0993135
4	2.037516894
5	1.98379316
6	1.939718573
7	1.897240775
8	1.860618446
9	1.823761609
10	1.780174466
11	1.750934583
12	1.720215082
13	1.697894406
14	1.666709758
15	1.637636023
16	1.606878484
17	1.584929226
18	1.561202232
19	1.546893499
20	1.530481706
21	1.509376058
22	1.493351048
23	1.478448441
24	1.463959961
25	1.444917688
26	1.425675575
27	1.411061245
28	1.396504825
29	1.386677816
30	1.37110689
31	1.356931437
32	1.345715198
33	1.339544203
34	1.327566754
35	1.314422076
36	1.300354199
37	1.294336914
38	1.287358265
39	1.275133106
40	1.262962224
41	1.252788263
42	1.246232204
43	1.236588316
44	1.227806369
45	1.219377408
46	1.209336593
47	1.19913935
48	1.191601945
49	1.184052139
50	1.173836742
51	1.164283371
52	1.155902992
53	1.14808832
54	1.142304311
55	1.13445095
56	1.128635605
57	1.121101569
58	1.112410469
59	1.106062886
60	1.097767943
61	1.091294524
62	1.087710244
63	1.083365379
64	1.078908456
65	1.072364297
66	1.068403674
67	1.061303972
68	1.057605072
69	1.05217199
70	1.047991728
71	1.043140113
72	1.037198846
73	1.032817812
74	1.026900828
75	1.02309127
76	1.016678647
77	1.010626947
78	1.004442498
79	0.9993451229
80	0.9941807846
81	0.9903519235
82	0.9865321457
83	0.9835232715
84	0.9789541721
85	0.9755590254
86	0.9710803789
87	0.9679611515
88	0.9641486348
89	0.9610481395
90	0.9541212832
91	0.9514212183
92	0.94972743
93	0.9460917856
94	0.9411046667
95	0.9383143878
96	0.9336341341
97	0.9301380768
98	0.925462181
99	0.9231400223
100	0.9194083171
101	0.915826225
102	0.9113383373
103	0.908888471
104	0.9064708454
105	0.9031679384
106	0.898679699
107	0.8952046794
108	0.8930486406
109	0.8889922715
110	0.8864101677
111	0.8835288918
112	0.8809869744
113	0.8774768963
114	0.8751086712
115	0.8725736
116	0.8703491197
117	0.8657942996
118	0.8628107157
119	0.8605891367
120	0.8589434182
121	0.8559412505
122	0.8536660205
123	0.8519532719
124	0.8490115332
125	0.8465746681
126	0.8445045665
127	0.8420352045
128	0.8403580685
129	0.836771503
130	0.8337001923
131	0.8297870154
132	0.8272608227
133	0.8240888835
134	0.8211147729
135	0.8183196023
136	0.8150573083
137	0.8125461613
138	0.8094377021
139	0.8069099255
140	0.8050836363
141	0.8028267122
142	0.7996922052
143	0.7978531857
144	0.7955026867
145	0.7932060356
146	0.7908357944
147	0.7891486699
148	0.7878582526
149	0.7863268501
150	0.7840919562
151	0.7813709291
152	0.7774704992
153	0.7753088204
154	0.7734581887
155	0.7705133634
156	0.7680014444
157	0.7657707817
158	0.7634138038
159	0.7607287746
160	0.7579858999
161	0.7563586215
162	0.7534467844
163	0.7509412402
164	0.7476461303
165	0.7454572969
166	0.7436739141
167	0.741072107
168	0.7384284918
169	0.7364621647
170	0.7333235471
171	0.7313675551
172	0.7299602211
173	0.7278325078
174	0.7258708732
175	0.7237486982
176	0.7219077515
177	0.7208058112
178	0.7178320249
179	0.7156224834
180	0.7137358083
181	0.7115689637
182	0.708524977
183	0.7070384529
184	0.705221019
185	0.7033361594
186	0.7015076897
187	0.6990742762
188	0.6967402951
189	0.6953210266
190	0.6922024263
191	0.6899862547
192	0.6875482203
193	0.6853061634
194	0.6830331242
195	0.6812404995
196	0.6792199109
197	0.6771187433
198	0.6756940921
199	0.6730922882
200	0.6703212668
201	0.6678059962
202	0.6658573869
203	0.6643319275
204	0.6630221488
205	0.6607006346
206	0.6593090091
207	0.6578748705
208	0.6559838786
209	0.6539079548
210	0.6519201133
211	0.6501969514
212	0.6482525469
213	0.6460115029
214	0.6442815179
215	0.6415118015
216	0.6396420626
217	0.6376858782
218	0.6352358489
219	0.6332224942
220	0.6320022218
221	0.630065356
222	0.6283023907
223	0.6268628263
224	0.625437996
225	0.6232094836
226	0.6219738075
227	0.6205645514
228	0.6188608557
229	0.617432123
230	0.6150633827
231	0.6121510192
232	0.609300968
233	0.6070317038
234	0.6055262523
235	0.6024171218
236	0.6010037367
237	0.5980687915
238	0.596646896
239	0.5943009144
240	0.5916667549
241	0.590225
242	0.5882640025
243	0.5864907664
244	0.5844292133
245	0.5829711969
246	0.5809528758
247	0.5783945059
248	0.5769793423
249	0.5743922892
250	0.5720618679
251	0.569300774
252	0.5665726524
253	0.5635290003
254	0.5613114361
255	0.5593375114
256	0.5570846288
257	0.5542307016
258	0.5515998662
259	0.5492113867
260	0.5463629589
261	0.5439167864
262	0.5414732535
263	0.5398036261
264	0.5377029932
265	0.5358186406
266	0.5335822981
267	0.5310422004
268	0.5297352796
269	0.527427173
270	0.5258127075
271	0.524485438
272	0.5220556225
273	0.5199244014
274	0.5181270928
275	0.5164188174
276	0.5144762462
277	0.5128363882
278	0.5104505271
279	0.5090554044
280	0.5074490756
281	0.5054569334
282	0.5033579436
283	0.5015406348
284	0.5001829572
285	0.498820737
286	0.4967240279
287	0.4950196728
288	0.4934283036
289	0.491445032
290	0.4898933953
291	0.4881321876
292	0.4860928721
293	0.4836367127
294	0.4815039928
295	0.4797913738
296	0.4776926207
297	0.4764163067
298	0.4749643487
299	0.4733340159
300	0.4717968044
301	0.470491846
302	0.4693821533
303	0.4681938652
304	0.4659275775
305	0.4643535353
306	0.4628350637
307	0.4615835093
308	0.4604324911
309	0.4593435254
310	0.4582786309
311	0.4564920862
312	0.4549140932
313	0.4537488841
314	0.4523088838
315	0.4509622594
316	0.4503625355
317	0.4488209295
318	0.4475670074
319	0.4467426811
320	0.4456934396
321	0.4445160931
322	0.4428668943
323	0.4417895717
324	0.4402593186
325	0.4390065261
326	0.4382146919
327	0.4376325994
328	0.4366746362
329	0.4358850159
330	0.4338636049
331	0.4323073934
332	0.4309862515
333	0.4293265702
334	0.4275403804
335	0.4256129556
336	0.4245288434
337	0.4240002118
338	0.4231585753
339	0.4221611834
340	0.4208400641
341	0.419580876
342	0.4188693159
343	0.4181543855
344	0.416845078
345	0.4158762458
346	0.4146052348
347	0.4133773198
348	0.4126951801
349	0.4112717702
350	0.4103747911
351	0.4098518523
352	0.4091657323
353	0.4082658278
354	0.4071518851
355	0.4059270249
356	0.4043368596
357	0.4034905699
358	0.4027610063
359	0.4018018719
360	0.4009667067
361	0.4001823984
362	0.3992671078
363	0.3982153266
364	0.3973149085
365	0.396592069
366	0.3960264072
367	0.395324985
368	0.3945784096
369	0.3940651391
370	0.3933733536
371	0.3927960834
372	0.3920266978
373	0.3910098409
374	0.3901369441
375	0.3889921142
376	0.3879381716
377	0.3872413146
378	0.386629595
379	0.386127894
380	0.3852124531
381	0.3836561538
382	0.3825868939
383	0.381822188
384	0.3813284942
385	0.380818183
386	0.3798149572
387	0.3789692561
388	0.378257052
389	0.3775416031
390	0.3771103457
391	0.3763993332
392	0.3756314122
393	0.3744787705
394	0.3734292466
395	0.3728332885
396	0.3718500495
397	0.3714292844
398	0.3704392035
399	0.3695600161
400	0.3690240137
401	0.3686248606
402	0.3679628258
403	0.3671128267
404	0.3667676515
405	0.3658166928
406	0.3654391567
407	0.365135319
408	0.3647068734
409	0.3638767436
410	0.3634784008
411	0.363008041
412	0.3624303177
413	0.3617441091
414	0.360960321
415	0.360526788
416	0.3600193752
417	0.3587319734
418	0.3582615547
419	0.3577952961
420	0.3574075975
421	0.3571619922
422	0.3565213372
423	0.3558695327
424	0.3550876701
425	0.3541009047
426	0.3532073196
427	0.3524929217
428	0.3518179793
429	0.3514207352
430	0.3498881079
431	0.3484486567
432	0.3476547609
433	0.3470671027
434	0.3462572468
435	0.345611035
436	0.3451027446
437	0.3443756439
438	0.3438174426
439	0.3434917254
440	0.3426468762
441	0.3421700673
442	0.3417693911
