iter	Passed	Remaining
0	3316	1986483
1	6622	1980070
2	9973	1984716
3	13407	1997722
4	16839	2003956
5	20179	1997800
6	23570	1996723
7	26992	1997466
8	30359	1993638
9	33856	1997543
10	37349	1999871
11	40747	1996646
12	44291	1999917
13	47811	2001271
14	51348	2002593
15	55023	2008356
16	58637	2010911
17	62278	2013678
18	65834	2013157
19	69406	2012782
20	72954	2011460
21	76345	2005797
22	79837	2002883
23	83355	2000542
24	86984	2000650
25	90410	1995977
26	94159	1998278
27	98117	2004393
28	101878	2005948
29	105418	2002958
30	108734	1995809
31	112344	1994110
32	116278	1997872
33	119742	1993363
34	123253	1989657
35	126662	1984378
36	130392	1984086
37	133752	1978126
38	137280	1974724
39	140723	1970132
40	144428	1969157
41	147732	1962737
42	151339	1960373
43	154774	1955789
44	158409	1953720
45	161799	1948624
46	165264	1944499
47	168851	1941788
48	172414	1938788
49	175969	1935662
50	179453	1931759
51	182959	1928110
52	186815	1928079
53	190614	1927325
54	194122	1923581
55	197752	1921026
56	201636	1920849
57	205296	1918460
58	208852	1915067
59	212504	1912542
60	216175	1910139
61	219844	1907679
62	223313	1903479
63	226949	1900701
64	230347	1895941
65	234075	1893881
66	237477	1889186
67	240964	1885192
68	244311	1880138
69	247810	1876278
70	251391	1873044
71	254994	1869956
72	258563	1866614
73	262086	1862939
74	265824	1860772
75	269252	1856425
76	272656	1851937
77	276217	1848532
78	279867	1845707
79	283299	1841445
80	286909	1838347
81	290456	1834833
82	294046	1831589
83	298181	1831688
84	301697	1827932
85	305164	1823889
86	308836	1821069
87	312404	1817625
88	315937	1813976
89	319622	1811196
90	323534	1809659
91	327066	1805973
92	330679	1802735
93	334396	1800047
94	338181	1797703
95	341989	1795444
96	345849	1793428
97	349561	1790609
98	353286	1787841
99	356858	1784292
100	360630	1781726
101	364519	1779711
102	368412	1777680
103	372141	1774827
104	375887	1772042
105	379678	1769444
106	383556	1767225
107	387485	1765213
108	391161	1762021
109	395063	1759829
110	398825	1756989
111	402583	1754113
112	406362	1751312
113	410121	1748411
114	413928	1745699
115	417868	1743521
116	421385	1739565
117	425210	1736875
118	429021	1734111
119	432689	1730756
120	436516	1728028
121	440164	1724577
122	443875	1721371
123	447549	1718012
124	451248	1714744
125	454931	1711408
126	458723	1708475
127	462477	1705384
128	466119	1701877
129	470061	1699452
130	473904	1696649
131	477803	1694029
132	481582	1690968
133	485301	1687691
134	489153	1684860
135	492841	1681458
136	496898	1679300
137	500540	1675723
138	504480	1673133
139	508225	1669882
140	511958	1666587
141	515493	1662646
142	518940	1658433
143	522473	1654498
144	526131	1650963
145	529529	1646620
146	532920	1642264
147	536546	1638641
148	540002	1634503
149	543294	1629884
150	546685	1625575
151	550219	1621698
152	553782	1617914
153	557171	1613627
154	560559	1609347
155	564123	1605583
156	567569	1601484
157	571107	1597654
158	574659	1593866
159	578266	1590233
160	581676	1586062
161	584990	1581641
162	588591	1578002
163	592187	1574352
164	595841	1570854
165	599490	1567342
166	602957	1563355
167	606468	1559490
168	609993	1555664
169	613434	1551628
170	617036	1548004
171	620555	1544172
172	623888	1539887
173	627376	1535990
174	630952	1532312
175	634490	1528544
176	637932	1524551
177	641174	1520088
178	644750	1516424
179	648244	1512569
180	651824	1508920
181	655419	1505304
182	659137	1501969
183	662493	1497812
184	665949	1493886
185	669406	1489969
186	672818	1485956
187	676343	1482199
188	679806	1478309
189	683224	1474326
190	687006	1471129
191	690550	1467419
192	694293	1464132
193	698223	1461231
194	702133	1458276
195	705621	1454443
196	709055	1450503
197	712581	1446756
198	716201	1443200
199	719988	1439977
200	723555	1436312
201	727102	1432608
202	730693	1428992
203	734112	1425042
204	737464	1420968
205	741065	1417377
206	744554	1413575
207	748116	1409912
208	751836	1406545
209	755518	1403106
210	759347	1399935
211	763024	1396479
212	766654	1392935
213	770525	1389826
214	774258	1386462
215	778201	1383468
216	782065	1380327
217	785822	1376991
218	789648	1373771
219	793435	1370479
220	797134	1367032
221	800845	1363602
222	804659	1360344
223	808433	1357013
224	812155	1353593
225	815908	1350219
226	819548	1346658
227	823382	1343413
228	827090	1339959
229	830715	1336368
230	834620	1333224
231	838519	1330066
232	842228	1326599
233	845921	1323108
234	849563	1319534
235	853465	1316362
236	857123	1312808
237	860885	1309413
238	864486	1305773
239	868259	1302389
240	872068	1299055
241	875734	1295507
242	879465	1292054
243	883162	1288548
244	886959	1285185
245	890781	1281855
246	894740	1278717
247	898395	1275142
248	902070	1271592
249	905810	1268134
250	909479	1264575
251	913286	1261205
252	917129	1257881
253	920898	1254452
254	924625	1250963
255	928242	1247325
256	932029	1243914
257	936024	1240776
258	939692	1237201
259	943353	1233615
260	946978	1229983
261	950374	1226055
262	953882	1222275
263	957450	1218572
264	960895	1214716
265	964389	1210924
266	967805	1207038
267	971260	1203203
268	974587	1199213
269	977993	1195325
270	981517	1191584
271	984704	1187437
272	988253	1183732
273	991603	1179790
274	995013	1175925
275	998431	1172072
276	1001803	1168167
277	1005183	1164277
278	1008717	1160566
279	1012088	1156672
280	1015727	1153085
281	1019207	1149319
282	1022695	1145563
283	1026122	1141741
284	1029345	1137697
285	1032740	1133847
286	1036152	1130019
287	1039614	1126248
288	1043169	1122580
289	1046802	1118995
290	1050184	1115144
291	1053568	1111297
292	1056887	1107387
293	1060322	1103601
294	1063733	1099792
295	1067127	1095969
296	1070791	1092423
297	1074383	1088804
298	1077819	1085029
299	1081191	1081191
300	1084552	1077346
301	1087830	1073422
302	1091080	1069475
303	1094386	1065587
304	1097971	1061972
305	1101379	1058187
306	1104772	1054392
307	1108118	1050553
308	1111419	1046676
309	1114762	1042842
310	1118117	1039022
311	1121588	1035312
312	1125011	1031560
313	1128468	1027840
314	1131898	1024099
315	1135230	1020270
316	1138503	1016392
317	1141987	1012705
318	1145359	1008921
319	1148581	1005008
320	1151842	1001133
321	1155232	997374
322	1158738	993716
323	1162089	989928
324	1165496	986189
325	1168854	982411
326	1172180	978609
327	1175401	974723
328	1178672	970882
329	1182136	967202
330	1185732	963631
331	1189222	959974
332	1192556	956194
333	1196289	952733
334	1199988	949244
335	1203847	945880
336	1207506	942356
337	1210956	938670
338	1214441	935012
339	1218099	931487
340	1221726	927938
341	1225474	924481
342	1229001	920855
343	1232563	917256
344	1236216	913725
345	1239783	910129
346	1243494	906640
347	1247199	903144
348	1250649	899464
349	1254457	896041
350	1258169	892547
351	1261878	889050
352	1265497	885490
353	1269215	881997
354	1272865	878456
355	1276536	874929
356	1280296	871462
357	1283955	867925
358	1287592	864372
359	1291131	860754
360	1295140	857447
361	1298865	853950
362	1302402	850328
363	1306467	847050
364	1310073	843471
365	1313669	839886
366	1317243	836288
367	1320983	832793
368	1324617	829231
369	1328075	825560
370	1331563	821908
371	1335041	818251
372	1338598	814643
373	1342267	811103
374	1345802	807481
375	1349585	804008
376	1353415	800561
377	1356857	796884
378	1360242	793175
379	1363705	789513
380	1367320	785940
381	1371071	782444
382	1374665	778857
383	1378378	775337
384	1382002	771767
385	1385471	768111
386	1389059	764520
387	1392313	760748
388	1395570	756980
389	1398868	753236
390	1402055	749436
391	1405317	745678
392	1408845	742063
393	1412304	738412
394	1415657	734708
395	1418907	730952
396	1422264	727253
397	1425366	723427
398	1428788	719765
399	1432099	716049
400	1435449	712355
401	1438590	708559
402	1441822	704811
403	1445142	701108
404	1448241	697301
405	1451537	693591
406	1454641	689792
407	1457701	685977
408	1460806	682185
409	1464224	678543
410	1467398	674789
411	1470642	671069
412	1473858	667340
413	1477342	663733
414	1480712	660076
415	1483952	656363
416	1487199	652655
417	1490668	649047
418	1493931	645349
419	1497183	641649
420	1500393	637934
421	1503475	634167
422	1506701	630463
423	1509915	626757
424	1513356	623146
425	1516748	619516
426	1520241	615929
427	1523617	612294
428	1526915	608630
429	1530079	604915
430	1533706	601383
431	1537347	597857
432	1540756	594241
433	1544085	590594
434	1547293	586904
435	1550592	583250
436	1553858	579585
437	1557410	576028
438	1560783	572405
439	1563938	568704
440	1567325	565090
441	1570570	561425
