image,split,estimated_players,occupied_cells,n_CSK,n_DC,n_GT,n_KKR,n_LSG,n_MI,n_PBKS,n_RR,n_RCB,n_SRH
PBKSvsMI_image_41.jpg,Train,1,11,0,0,0,0,0,0,1,0,0,0
SRHvsMI_image_28.jpg,Train,1,37,0,0,0,0,0,1,0,0,0,0
KKRvsSRH_image_21.jpg,Train,1,10,0,0,0,1,0,0,0,0,0,0
RCBvsPBKS_image_75.jpg,Train,1,9,0,0,0,0,0,0,1,0,0,0
KKRvsSRH_image_5.jpg,Train,2,30,0,0,0,2,0,0,0,0,0,0
GTvsMI_image_254.jpg,Train,1,7,0,0,1,0,0,0,0,0,0,0
SRHvsDC_image_21.jpg,Train,1,8,0,1,0,0,0,0,0,0,0,0
SRHvsDC_image_113.jpg,Train,0,0,0,0,0,0,0,0,0,0,0,0
PBKSvsMI_image_73.jpg,Train,1,2,0,0,0,0,0,0,1,0,0,0
SRHvsPBKS_image_128.jpg,Train,2,5,0,0,0,0,0,0,1,0,0,1
PBKSvsCSK_image_90.jpg,Train,1,2,1,0,0,0,0,0,0,0,0,0
PBKSvsCSK_image_141.jpg,Train,3,13,1,0,0,0,0,0,2,0,0,0
RRvsCSK_image_105.jpg,Train,1,12,0,0,0,0,0,0,0,1,0,0
KKRvsRCB_image_59.jpg,Train,2,24,0,0,0,1,0,0,0,0,1,0
RRvsMI_image_43.jpg,Train,1,6,0,0,0,0,0,1,0,0,0,0
KKRvsCSK_image_15.jpg,Train,1,4,0,0,0,1,0,0,0,0,0,0
LSGvsSRH_image_42.jpg,Train,1,11,0,0,0,0,1,0,0,0,0,0
GTvsSRH_image_153.jpg,Train,1,13,0,0,0,0,0,0,0,0,0,1
KKRvsSRH_image_205.jpg,Train,1,11,0,0,0,0,0,0,0,0,0,1
KKRvsSRH_image_213.jpg,Train,1,9,0,0,0,0,0,0,0,0,0,1
RCBvsPBKS_image_95.jpg,Train,1,8,0,0,0,0,0,0,0,0,1,0
RRvsLSG_image_44.jpg,Train,1,3,0,0,0,0,1,0,0,0,0,0
PBKSvsCSK_image_252.jpg,Train,2,10,0,0,0,0,0,0,2,0,0,0
KKRvsRCB_image_128.jpg,Train,1,7,0,0,0,0,0,0,0,0,1,0
GTvsRR_image_187.jpg,Train,1,8,0,0,0,0,0,0,0,1,0,0
GTvsSRH_image_213.jpg,Train,1,8,0,0,0,0,0,0,0,0,0,1
LSGvsMI_image_97.jpg,Train,1,6,0,0,0,0,1,0,0,0,0,0
PBKSvsDC_image_53.jpg,Train,1,27,0,0,0,0,0,0,1,0,0,0
SRHvsDC_image_68.jpg,Train,1,5,0,1,0,0,0,0,0,0,0,0
SRHvsPBKS_image_66.jpg,Train,3,17,0,0,0,0,0,0,2,0,0,1
KKRvsRR_image_102.jpg,Train,1,10,0,0,0,1,0,0,0,0,0,0
RCBvsSRH_image_92.jpg,Train,1,12,0,0,0,0,0,0,0,0,1,0
RCBvsPBKS_image_9.jpg,Train,1,6,0,0,0,0,0,0,1,0,0,0
PBKSvsMI_image_46.jpg,Train,1,4,0,0,0,0,0,1,0,0,0,0
SRHvsPBKS_image_130.jpg,Train,1,17,0,0,0,0,0,0,0,0,0,1
KKRvsCSK_image_148.jpg,Train,1,23,1,0,0,0,0,0,0,0,0,0
PBKSvsCSK_image_256.jpg,Train,1,6,0,0,0,0,0,0,1,0,0,0
KKRvsCSK_image_203.jpg,Train,1,6,0,0,0,1,0,0,0,0,0,0
GTvsPBKS_image_88.jpg,Train,2,5,0,0,1,0,0,0,1,0,0,0
LSGvsRCB_image_175.jpg,Train,1,9,0,0,0,0,0,0,0,0,1,0
PBKSvsCSK_image_220.jpg,Train,1,8,1,0,0,0,0,0,0,0,0,0
GTvsPBKS_image_57.jpg,Train,1,3,0,0,1,0,0,0,0,0,0,0
KKRvsCSK_image_144.jpg,Train,1,4,1,0,0,0,0,0,0,0,0,0
MIvsKKR_image_6.jpg,Train,2,7,0,0,0,1,0,1,0,0,0,0
KKRvsLSG_image_137.jpg,Train,0,0,0,0,0,0,0,0,0,0,0,0
KKRvsRR_image_57.jpg,Train,1,4,0,0,0,0,0,0,0,1,0,0
LSGvsSRH_image_8.jpg,Train,1,6,0,0,0,0,0,0,0,0,0,1
KKRvsSRH_image_98.jpg,Train,1,16,0,0,0,0,0,0,0,0,0,1
LSGvsSRH_image_20.jpg,Train,1,6,0,0,0,0,1,0,0,0,0,0
RCBvsGT_image_79.jpg,Train,1,21,0,0,0,0,0,0,0,0,1,0
KKRvsPBKS_image_161.jpg,Train,1,5,0,0,0,1,0,0,0,0,0,0
RCBvsCSK_image_162.jpg,Train,1,10,1,0,0,0,0,0,0,0,0,0
RCBvsCSK_image_97.jpg,Train,1,8,0,0,0,0,0,0,0,0,1,0
GTvsPBKS_image_0.jpg,Train,1,4,0,0,1,0,0,0,0,0,0,0
SRHvsDC_image_115.jpg,Train,2,8,0,1,0,0,0,0,0,0,0,1
KKRvsLSG_image_55.jpg,Train,1,8,0,0,0,0,1,0,0,0,0,0
GTvsMI_image_69.jpg,Train,1,3,0,0,1,0,0,0,0,0,0,0
SRHvsDC_image_22.jpg,Train,1,11,0,1,0,0,0,0,0,0,0,0
KKRvsLSG_image_108.jpg,Train,1,19,0,0,0,0,1,0,0,0,0,0
PBKSvsCSK_image_11.jpg,Train,1,7,0,0,0,0,0,0,1,0,0,0
KKRvsPBKS_image_80.jpg,Train,1,4,0,0,0,0,0,0,1,0,0,0
GTvsRR_image_76.jpg,Train,1,7,0,0,0,0,0,0,0,1,0,0
SRHvsPBKS_image_25.jpg,Train,0,0,0,0,0,0,0,0,0,0,0,0
RCBvsSRH_image_168.jpg,Train,2,22,0,0,0,0,0,0,0,0,1,1
RCBvsRR_image_39.jpg,Train,1,25,0,0,0,0,0,0,0,0,1,0
LSGvsSRH_image_40.jpg,Train,1,13,0,0,0,0,1,0,0,0,0,0
